iref,Question,Topic,Question_text,QuestionType,Positive,Neutral,Negative,Exclude,Weight
101,Q01,GP Practice,When did you last contact the GP practice named on the enclosed letter?,Information,,,,,T5_Wt_Final
102,Q02,GP Practice,"Roughly, how often have you contacted this GP practice in the last 12 months?",Information,,,,,T1_Wt_Final
103,Q03,GP Practice,How easy is it for you to contact your GP practice in the way that you want?,Percent positive,"1, 2",,3,,T1_Wt_Final
104,Q04,GP Practice,What do you think about the opening hours of your GP practice?,Information,,,,,T1_Wt_Final
105,Q05,GP Practice,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",Percent positive,1,,2,3,T1_Wt_Final
106,Q06,GP Practice,"The last time you needed to see or speak to a doctor or nurse from your GP practice quite urgently, how long did you wait?",Percent positive,"1, 2",,3,4,T1_Wt_Final
107,Q07,GP Practice,What was the main reason you waited longer than 2 working days?,Information,,,,,T1_Wt_Final
108,Q08,GP Practice,"The last time you needed an appointment with your GP practice, what kind of appointment did you get?",Information,,,,,T1_Wt_Final
109,Q09a,GP Practice,The quality of information provided by the receptionist?,Percent positive,"1, 2",3,"4, 5",6,T1_Wt_Final
110,Q09b,GP Practice,The arrangements for getting to see a doctor?,Percent positive,"1, 2",3,"4, 5",6,T1_Wt_Final
111,Q09c,GP Practice,The arrangements for getting to see a nurse?,Percent positive,"1, 2",3,"4, 5",6,T1_Wt_Final
112,Q09d,GP Practice,The arrangements for getting to see a Pharmacist / Chemist?,Percent positive,"1, 2",3,"4, 5",6,T1_Wt_Final
113,Q09e,GP Practice,The arrangements for getting to see a Physiotherapist?,Percent positive,"1, 2",3,"4, 5",6,T1_Wt_Final
114,Q09f,GP Practice,The arrangements for getting to see a Mental Health Professional?,Percent positive,"1, 2",3,"4, 5",6,T1_Wt_Final
115,Q09g,GP Practice,The arrangements for getting to see a Community Link Worker?,Percent positive,"1, 2",3,"4, 5",6,T1_Wt_Final
116,Q09h,GP Practice,The arrangements for getting to see a Another Healthcare Professional?,Percent positive,"1, 2",3,"4, 5",6,T1_Wt_Final
117,Q10,GP Practice,"Overall, how would you rate the care provided by your GP practice?",Percent positive,"1, 2",3,"4, 5",,T1_Wt_Final
118,Q11a,GP Practice,"The last time you received treatment or advice at your GP practice in the last 12 months, what did you receive treatment or advice for? - An injury or accident",Information,,,,,T1_Wt_Final
119,Q11b,GP Practice,"The last time you received treatment or advice at your GP practice in the last 12 months, what did you receive treatment or advice for? - Another physical health",Information,,,,,T1_Wt_Final
120,Q11c,GP Practice,"The last time you received treatment or advice at your GP practice in the last 12 months, what did you receive treatment or advice for? - A mental health problem",Information,,,,,T1_Wt_Final
121,Q11d,GP Practice,"The last time you received treatment or advice at your GP practice in the last 12 months, what did you receive treatment or advice for? - A routine appointment",Information,,,,,T1_Wt_Final
122,Q11e,GP Practice,"The last time you received treatment or advice at your GP practice in the last 12 months, what did you receive treatment or advice for? - Something else",Information,,,,,T1_Wt_Final
123,Q11f,GP Practice,"The last time you received treatment or advice at your GP practice in the last 12 months, what did you receive treatment or advice for? - No treatment / advice r",Information,,,,,T1_Wt_Final
124,Q12,GP Practice,What type of healthcare professional did you receive most of your treatment or advice from? Please tick one box only.,Information,,,,,T1_Wt_Final
125,Q13a,GP Practice,The person I saw was appropriate for my treatment / care,Percent positive,"1, 2",3,"4, 5",,T1_Wt_Final
126,Q13b,GP Practice,I was listened to.,Percent positive,"1, 2",3,"4, 5",,T1_Wt_Final
127,Q13c,GP Practice,I was given enough time,Percent positive,"1, 2",3,"4, 5",,T1_Wt_Final
128,Q13d,GP Practice,I was treated with compassion and understanding.,Percent positive,"1, 2",3,"4, 5",,T1_Wt_Final
129,Q13e,GP Practice,I was given the opportunity to involve the people that matter to me.,Percent positive,"1, 2",3,"4, 5",,T1_Wt_Final
130,Q13f,GP Practice,I understood the information I was given,Percent positive,"1, 2",3,"4, 5",,T1_Wt_Final
131,Q13g,GP Practice,I was able to ask questions if I wanted to,Percent positive,"1, 2",3,"4, 5",,T1_Wt_Final
132,Q13h,GP Practice,I was involved in decisions about my care and treatment?,Percent positive,"1, 2",3,"4, 5",,T1_Wt_Final
133,Q13i,GP Practice,Staff helped me to feel in control of my treatment/care,Percent positive,"1, 2",3,"4, 5",,T1_Wt_Final
134,Q13j,GP Practice,I knew the healthcare professional well,Percent positive,"1, 2",3,"4, 5",,T1_Wt_Final
135,Q13k,GP Practice,My treatment/care was well coordinated,Percent positive,"1, 2",3,"4, 5",,T1_Wt_Final
